artist_name,artist_id,genre
Victor Cibrian,1iXdpCz3AeLEAvzqeNodt8,corrido
Victor Cibrian,1iXdpCz3AeLEAvzqeNodt8,corridos tumbados
Victor Cibrian,1iXdpCz3AeLEAvzqeNodt8,sierreno
Fran C,5NenY2Jl9wwLRxf86go4Y8,reggaeton chileno
Kidd Voodoo,10VBp06W8NIgMW4JruLCC4,urbano chileno
Jere Klein,35oGZihZclGoTVuICPXRP9,reggaeton chileno
Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,reggaeton
Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,reggaeton flow
Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,trap latino
Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,urbano latino
Pablo Chill-E,2XcZshqzPKm3iZcmt73R8D,trap chileno
Pablo Chill-E,2XcZshqzPKm3iZcmt73R8D,urbano chileno
Pablo Chill-E,2XcZshqzPKm3iZcmt73R8D,urbano latino
Lucky Brown,11HepfI1lj6KJHj651rZhM,urbano chileno
eleven1.1,1yh29osKJYH6l9JlPFgpLY,
Gino Mella,7HYJrA3HSTNDmkl5pylhaY,reggaeton chileno
Gino Mella,7HYJrA3HSTNDmkl5pylhaY,urbano chileno
Young Cister,0Yg29FX1M4ayqjXs0ttZFq,trap chileno
Young Cister,0Yg29FX1M4ayqjXs0ttZFq,urbano chileno
Tobal Mj,2BJWqrBKEqtZUKWtzmpPDj,urbano chileno
ITHAN NY,0LshXUmIub6xKvOq4QmtNs,drill chileno
ITHAN NY,0LshXUmIub6xKvOq4QmtNs,urbano chileno
LA NUEVA ESCUELA,5TeBsszZQTyqBX4eDHdtNx,plena uruguaya
La Deskarga,3Pohtvl5MO8eQpaZVOrhUS,plena uruguaya
Bauti Mascia,4cV73y9UlkKTCIWbuP2hbG,
Airbag,1wKDGglKV4FsFS85r2Dmpr,argentine rock
Roze Oficial,2Hxu0Wmd7FUm0euCVInVrN,cumbia pop
Becky G,4obzFoKoKRHIphyHzJ35G3,latin pop
Becky G,4obzFoKoKRHIphyHzJ35G3,latin viral pop
Becky G,4obzFoKoKRHIphyHzJ35G3,rap latina
Becky G,4obzFoKoKRHIphyHzJ35G3,reggaeton
